,x,y
0,-1.932,0
1,-2.953,0
2,8.879,1
3,9.259,1
4,3.033,0
5,-1.952,0
6,9.66,1
7,0.651,0
8,7.257,1
9,3.113,0
10,-7.518,0
11,0.911,0
12,1.592,0
13,5.195,1
14,-9.52,0
15,-9.82,0
16,4.655,1
17,-2.072,0
18,-8.278,0
19,5.435,1
20,-1.211,0
21,-8.579,0
22,8.278,1
23,-0.23,0
24,4.094,0
25,0.971,0
26,1.191,0
27,0.951,0
28,6.617,1
29,-8.038,0
30,7.998,1
31,-6.396,0
32,-8.859,0
33,3.273,0
34,2.332,0
35,-3.874,0
36,8.739,1
37,-6.336,0
38,8.138,1
39,-8.619,0
40,1.371,0
41,2.573,0
42,-2.412,0
43,-5.035,0
44,8.338,1
45,-7.357,0
46,-2.292,0
47,-2.312,0
48,1.512,0
49,-0.09,0
50,-4.474,0
51,9.82,1
52,4.314,1
53,1.532,0
54,7.558,1
55,4.454,1
56,8.759,1
57,8.058,1
58,5.816,1
59,-4.855,0
60,-1.812,0
61,-3.594,0
62,9.64,1
63,9.419,1
64,1.131,0
65,9.499,1
66,-5.115,0
67,3.634,0
68,1.772,0
69,1.271,0
70,-2.492,0
71,3.674,1
72,5.295,1
73,3.894,1
74,0.751,0
75,1.151,0
76,5.235,1
77,4.695,1
78,0.611,0
79,-0.651,0
80,0.571,0
81,7.077,1
82,-1.471,0
83,5.796,1
84,-4.975,0
85,-8.599,0
86,1.331,0
87,0.19,0
88,-1.612,0
89,6.076,1
90,-9.56,0
91,-8.939,0
92,-3.914,0
93,-4.715,0
94,9.84,1
95,5.736,1
96,-1.552,0
97,-3.333,0
98,-2.232,0
99,-5.475,0
100,5.876,1
101,-5.736,0
102,-9.179,0
103,-7.918,0
104,-1.491,0
105,0.731,0
106,-0.931,0
107,-0.13,0
108,5.516,1
109,-0.891,0
110,1.832,0
111,-4.374,0
112,5.836,1
113,9.72,1
114,6.196,1
115,-9.119,0
116,3.293,0
117,-7.678,0
118,4.575,1
119,7.678,1
120,9.52,1
121,-1.992,0
122,-0.21,0
123,8.158,1
124,8.559,1
125,-4.835,0
126,-1.632,0
127,5.155,1
128,-9.8,0
129,5.115,1
130,-7.417,0
131,1.431,0
132,0.591,0
133,7.538,1
134,5.335,1
135,7.037,1
136,-7.037,0
137,-8.118,0
138,-9.84,0
139,4.875,1
140,-1.331,0
141,-1.732,0
142,3.153,0
143,-0.731,0
144,5.375,1
145,-5.355,0
146,3.714,1
147,9.099,1
148,8.679,1
149,-3.073,0
150,6.256,1
151,-6.877,0
152,-6.416,0
153,1.852,0
154,7.518,1
155,-8.519,0
156,-9.219,0
157,2.773,0
158,7.317,1
159,-6.757,0
160,0.991,0
161,2.953,0
162,4.715,1
163,-8.819,0
164,-5.095,0
165,-3.934,0
166,2.192,0
167,-0.831,0
168,-4.735,0
169,3.473,0
170,3.433,0
171,4.975,1
172,-5.636,0
173,-7.257,0
174,-5.155,0
175,-6.356,0
176,-4.955,0
177,8.358,1
178,-1.151,0
179,7.638,1
180,9.219,1
181,-1.872,0
182,7.658,1
183,-4.174,0
184,9.479,1
185,-9.459,0
186,-3.954,0
187,3.373,1
188,2.693,0
189,2.553,0
190,-0.25,0
191,-6.096,0
192,7.297,1
193,-7.297,0
194,4.935,1
195,5.415,1
196,3.333,0
197,-3.493,0
198,8.839,1
199,4.474,1
